H3K27M-high,H3K27M-low
  IER2,FOXG1
    MIR4461,
    EIF3L,
    PMP2,
    CCT3,
    PPA1,
    EIF3C,
    HSBP1,
    MRPS21,
    CLNS1A,
    PSMD4,
    TOMM20,
    TUFM,
    SPCS1,
    C6orf48,
    RPL22,
    RSL24D1,
    IMPDH2,
    CCND1,
    SNHG8,
    TROVE2,
    NDUFS2,
    NCBP2,
    SNHG16,
    ATXN10,
    KLRC2,
    SNHG1,
    AASDHPPT,
    KIFAP3,
    PCMTD2,
    BZW2,
    C4orf3,
    GRIA4,
    NFIA,
    COX20,
    MKI67IP,
    VPS45,
    RBM8A,
    CCDC82,
    EPB41L4A-AS1,
    NUP35,
    B3GALNT1,
    LINC00643,
    TIPRL,
    SRPRB,
    RBM34,
    APBB2,
    NME7,
    KCND2,
    BRWD1,
    ARMCX6,
    ZNF883,
    FAM104A,
    SETDB1,
    IMPACT,
    ZNF300,
    TFB2M,
    TIGD1,
    RCBTB2,
    CLDN12,
    TCF7L2,
    PPP3CA,
    GLCCI1,
    TDRKH,
    PSIMCT-1,
    LOC283174,
    CLGN,
    NPPA,
    KLRG1,
    OSR1,
    CARD8,
    FZD6,
    EPB41,
    TLE3,
    ZNF790-AS1,
    PINLYP,
    TENM2,
    SLC30A3,
    IRX2,
    ZSCAN31,